Domain,Threat_Type,Trigger_Context,Leaked_Data (Source),Leak_Method (Sink),Destination,Party_Check
www.instagram.com,DOM_Evasion (Rule 4),AUTONOMOUS,document.URL,LoadFrameInst.href (Evasion Suspected),https://www.facebook.com/ig_xsite_user_obid/ (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.kakaocorp.com,DOM_Evasion (Rule 4),AUTONOMOUS,Unknown,location.href (Evasion Suspected),https://connect.facebook.net/en_US/fbevents.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.kakaocorp.com,DOM_Evasion (Rule 4),AUTONOMOUS,location.href,LoadFrameInst.href (Evasion Suspected),https://connect.facebook.net/en_US/fbevents.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.kakaocorp.com,DOM_Evasion (Rule 4),AUTONOMOUS,location.hostname,LoadFrameInst.src (Evasion Suspected),https://connect.facebook.net/en_US/fbevents.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.kakaocorp.com,DOM_Evasion (Rule 4),AUTONOMOUS,location.hostname,LoadFrameInst.src (Evasion Suspected),https://connect.facebook.net/en_US/fbevents.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.naver.com,DOM_Evasion (Rule 4),AUTONOMOUS,location.href,location.href (Evasion Suspected),https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.naver.com,DOM_Evasion (Rule 4),AUTONOMOUS,Date,Image().src (Evasion Suspected),https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.naver.com,DOM_Evasion (Rule 4),AUTONOMOUS,Date,Image().src (Evasion Suspected),https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.naver.com,DOM_Evasion (Rule 4),AUTONOMOUS,location.origin,LoadFrameInst.src (Evasion Suspected),https://ssl.pstatic.net/tveta/libs/glad/prod/3.8.0/gfp-display-sentry-logger.js (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
www.nexon.com,DOM_Evasion (Rule 4),AUTONOMOUS,Unknown,LoadFrameInst.href (Evasion Suspected),https://static.hotjar.com/c/hotjar-1327448.js?sv=6 (🌟 Predicted 3rd-Party Tracker),3rd-Party (Identified)
